Timestamp,Sport,Away,Home,Market,Direction,Movement,Spread Line Home,Spread Line Away,Total Line,Odds (Am),Reason Text,Opening Decimal,Peak Decimal,Current Decimal,MinutesToStart,Actual Winner,Predicted,Prediction Result,Stake Amount,Game Time,American Odds,LowVig Home Odds (Am),LowVig Away Odds (Am),BetOnline Home Odds (Am),BetOnline Away Odds (Am),LowVig Home Decimal,LowVig Away Decimal,Decimal Odds (Current),ImpliedProb,Edge,Bet ID,Tier Code,Tier Label,Blank5,Blank6,ML Direction,Model Probability,Bet Limit,Limit Trend,Min Proba Threshold,Strong Flag (YES/NO),Blank7,Blank8,Bank9,Blank10,Blank11,Blank12,Blank13,Blank14,Blank15,Blank16,KalshiTicker,KalshiSide,KalshiPrice,KalshiTIF,KalshiQty,SentToKalshi,KalshiStatus,KalshiOrderId,KalshiTs,KalshiError
2025-08-13 17:01:48,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Home,Down,-123 → +117 → +110 (Down),1.5,-1.5,8,+110,,1.81,2.17,2.11,38.2,Cincinnati Reds,Cincinnati Reds,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 17:01:49,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Away,Down,+112 → +112 → -120 (Down),1.5,-1.5,8,-120,,2.12,2.12,1.83,38.2,Cincinnati Reds,Philadelphia Phillies,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 17:01:49,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,Spread Home,Down,+159 → +166 → -151 (Down),1.5,-1.5,8,-151,,2.59,2.66,1.66,38.2,Cincinnati Reds,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 17:31:50,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +127 (Down),1.5,-1.5,8.5,+127,,2.5,2.5,2.28,63.2,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:01:52,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Home,Down,-123 → +117 → +108 (Down),1.5,-1.5,8,+108,,1.81,2.17,2.08,3.1,Cincinnati Reds,Cincinnati Reds,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:01:53,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Away,Down,+112 → +112 → -116 (Down),1.5,-1.5,8,-116,,2.12,2.12,1.86,3.1,Cincinnati Reds,Philadelphia Phillies,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:01:53,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,Spread Home,Down,+159 → +166 → -156 (Down),1.5,-1.5,8,-156,,2.59,2.66,1.64,3.1,Cincinnati Reds,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:31:55,baseball_mlb,Miami Marlins,Cleveland Guardians,H2H Away,Down,+127 → +127 → +120 (Down),-1.5,1.5,7.5,+120,,2.27,2.27,2.2,8.1,Cleveland Guardians,Miami Marlins,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:31:55,baseball_mlb,Miami Marlins,Cleveland Guardians,Spread Away,Down,-163 → -163 → -185 (Down),-1.5,1.5,7.5,-185,,1.61,1.61,1.54,8.1,Cleveland Guardians,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:31:56,baseball_mlb,Miami Marlins,Cleveland Guardians,Total Over,Down,-102 → -102 → -112 (Down),-1.5,1.5,7.5,-112,,1.98,1.98,1.89,8.1,Cleveland Guardians,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 18:31:56,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +123 (Down),1.5,-1.5,8.5,+123,,2.5,2.5,2.23,33.1,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 19:01:58,baseball_mlb,Chicago Cubs,Toronto Blue Jays,H2H Home,Down,-109 → -109 → -126 (Down),-1.5,1.5,8.5,-126,,1.91,1.91,1.79,5,Toronto Blue Jays,Toronto Blue Jays,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 19:01:59,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Spread Home,Down,+175 → +175 → +160 (Down),-1.5,1.5,8.5,+160,,2.75,2.75,2.6,5,Toronto Blue Jays,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 19:32:00,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +119 (Down),1.5,-1.5,8.5,+119,,2.5,2.5,2.19,3,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 20:02:01,baseball_mlb,Minnesota Twins,New York Yankees,H2H Away,Down,+156 → +158 → +127 (Down),-1.5,1.5,8.5,+127,,2.56,2.58,2.28,3,Minnesota Twins,Minnesota Twins,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 20:32:04,baseball_mlb,Atlanta Braves,New York Mets,H2H Home,Down,+121 → +121 → -185 (Down),-1.5,1.5,9,-185,,2.21,2.21,1.54,12.9,Atlanta Braves,New York Mets,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 20:32:04,baseball_mlb,Minnesota Twins,New York Yankees,H2H Home,Up,-175 → -138 → -138 (Up),-1.5,1.5,8.5,-138,,1.57,1.72,1.72,22.9,Minnesota Twins,New York Yankees,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 20:32:05,baseball_mlb,Minnesota Twins,New York Yankees,H2H Away,Down,+156 → +158 → +127 (Down),-1.5,1.5,8.5,+127,,2.56,2.58,2.28,22.9,Minnesota Twins,Minnesota Twins,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:02:07,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,H2H Away,Down,-175 → -161 → -181 (Down),1.5,-1.5,9,-181,,1.57,1.62,1.55,35.9,Los Angeles Angels,Los Angeles Dodgers,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:02:07,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,Spread Away,Down,-108 → -104 → -120 (Down),1.5,-1.5,9,-120,,1.92,1.96,1.83,35.9,Los Angeles Angels,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:32:08,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,H2H Home,Down,+156 → +167 → +161 (Down),1.5,-1.5,9,+161,,2.56,2.67,2.61,5.9,Los Angeles Angels,Los Angeles Angels,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:32:09,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,H2H Away,Down,-175 → -161 → -175 (Down),1.5,-1.5,9,-175,,1.57,1.62,1.57,5.9,Los Angeles Angels,Los Angeles Dodgers,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:32:09,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,Spread Home,Down,-103 → +110 → +106 (Down),1.5,-1.5,9,+106,,1.97,2.1,2.07,5.9,Los Angeles Angels,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 21:32:09,baseball_mlb,Los Angeles Dodgers,Los Angeles Angels,Spread Away,Down,-108 → -104 → -117 (Down),1.5,-1.5,9,-117,,1.92,1.96,1.85,5.9,Los Angeles Angels,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 22:02:11,baseball_mlb,Tampa Bay Rays,Oakland Athletics,H2H Away,Down,-101 → -101 → -136 (Down),1.5,-1.5,9,-136,,1.99,1.99,1.73,2.8,Tampa Bay Rays,Tampa Bay Rays,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 22:02:12,baseball_mlb,Tampa Bay Rays,Oakland Athletics,Spread Home,Down,+177 → +181 → -131 (Down),1.5,-1.5,9,-131,,2.78,2.81,1.76,2.8,Tampa Bay Rays,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 12:03:21,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +117 (Down),1.5,-1.5,9.5,+117,2.5,2.5,2.17,62.6,,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,1.025,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 12:33:23,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +114 (Down),1.5,-1.5,9.5,+114,2.5,2.5,2.14,32.6,,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,1.025,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 13:03:25,baseball_mlb,Seattle Mariners,Baltimore Orioles,H2H Home,Down,+150 → +150 → +110 (Down),1.5,-1.5,9.5,+110,2.5,2.5,2.1,2.6,,Baltimore Orioles,Baltimore Orioles,1,,,,,,,,,1.025,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 14:03:29,baseball_mlb,Chicago Cubs,Toronto Blue Jays,H2H Away,Down,+100 → +117 → -106 (Down),-1.5,1.5,7.5,-106,2,2.17,1.94,64.5,,Toronto Blue Jays,Chicago Cubs,0,,,,,,,,,1.02,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 14:03:29,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Spread Away,Down,-200 → -200 → -222 (Down),-1.5,1.5,7.5,-222,1.5,1.5,1.45,64.5,,Toronto Blue Jays,Chicago Cubs,0,,,,,,,,,1.015,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 14:03:30,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Total Under,Down,+100 → +100 → -101 (Down),-1.5,1.5,7.5,-101,2,2,1.99,64.5,,Toronto Blue Jays,Under,1,,,,,,,,,1.02,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 15:03:33,baseball_mlb,Chicago Cubs,Toronto Blue Jays,H2H Away,Down,+100 → +117 → -113 (Down),-1.5,1.5,7.5,-113,2,2.17,1.88,4.4,,Toronto Blue Jays,Chicago Cubs,0,,,,,,,,,1.02,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 15:03:34,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Spread Away,Down,-200 → -200 → -232 (Down),-1.5,1.5,7.5,-232,1.5,1.5,1.43,4.4,,Toronto Blue Jays,Chicago Cubs,0,,,,,,,,,1.015,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 15:03:35,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Total Over,Up,-113 → -111 → -111 (Up),-1.5,1.5,7.5,-111,1.88,1.9,1.9,4.4,,Toronto Blue Jays,Over,0,,,,,,,,,1.0188,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 15:03:35,baseball_mlb,Chicago Cubs,Toronto Blue Jays,Total Under,Down,+100 → +100 → -102 (Down),-1.5,1.5,7.5,-102,2,2,1.98,4.4,,Toronto Blue Jays,Under,1,,,,,,,,,1.02,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 17:33:42,baseball_mlb,Miami Marlins,Cleveland Guardians,H2H Away,Down,+127 → +127 → +108 (Down),-1.5,1.5,7.5,+108,2.27,2.27,2.08,67.3,,Cleveland Guardians,Miami Marlins,0,,,,,,,,,1.0227,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 18:03:44,baseball_mlb,Miami Marlins,Cleveland Guardians,H2H Away,Down,+127 → +127 → +104 (Down),-1.5,1.5,7.5,+104,2.27,2.27,2.05,37.3,,Cleveland Guardians,Miami Marlins,0,,,,,,,,,1.0227,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 18:33:46,baseball_mlb,Miami Marlins,Cleveland Guardians,H2H Home,Down,-140 → -113 → -117 (Down),-1.5,1.5,7,-117,1.71,1.88,1.85,7.2,,Cleveland Guardians,Cleveland Guardians,1,,,,,,,,,1.0171,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 18:33:46,baseball_mlb,Miami Marlins,Cleveland Guardians,H2H Away,Down,+127 → +127 → +108 (Down),-1.5,1.5,7,+108,2.27,2.27,2.09,7.2,,Cleveland Guardians,Miami Marlins,0,,,,,,,,,1.0227,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 19:03:48,baseball_mlb,Atlanta Braves,New York Mets,H2H Home,Down,+121 → +121 → -175 (Down),-1.5,1.5,9,-175,2.21,2.21,1.57,6.2,,Atlanta Braves,New York Mets,0,,,,,,,,,1.0221,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 19:03:48,baseball_mlb,Atlanta Braves,New York Mets,H2H Away,Down,-131 → +169 → +159 (Down),-1.5,1.5,9,+159,1.76,2.69,2.59,6.2,,Atlanta Braves,Atlanta Braves,1,,,,,,,,,1.0176,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 19:33:49,baseball_mlb,Detroit Tigers,Minnesota Twins,H2H Home,Down,+185 → +185 → +173 (Down),1.5,-1.5,8,+173,2.85,2.85,2.73,7.2,,Minnesota Twins,Minnesota Twins,1,,,,,,,,,1.0285,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 20:03:51,baseball_mlb,Arizona Diamondbacks,Colorado Rockies,Total Over,Down,-103 → -103 → -108 (Down),1.5,-1.5,13,-108,1.97,1.97,1.92,37.1,,Under,Over,0,,,,,,,,,1.0197,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 20:33:53,baseball_mlb,Arizona Diamondbacks,Colorado Rockies,H2H Home,Up,+164 → +152 → +152 (Up),1.5,-1.5,13,-166,2.64,2.52,2.52,7.1,,Colorado Rockies,Colorado Rockies,1,,,,,,,,,1.0264,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 20:33:54,baseball_mlb,Arizona Diamondbacks,Colorado Rockies,H2H Away,Down,-178 → -163 → -166 (Down),1.5,-1.5,13,,1.56,1.61,1.6,7.1,,Colorado Rockies,Arizona Diamondbacks,0,,,,,,,,,1.0156,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 20:33:54,baseball_mlb,Arizona Diamondbacks,Colorado Rockies,Spread Away,Up,-123 → -113 → -113 (Up),1.5,-1.5,13,-113,1.81,1.88,1.88,7.1,,Colorado Rockies,Arizona Diamondbacks,0,,,,,,,,,1.0181,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14 20:33:55,baseball_mlb,Arizona Diamondbacks,Colorado Rockies,Total Over,Down,-103 → -103 → -116 (Down),1.5,-1.5,13,-116,1.97,1.97,1.86,7.1,,Under,Over,0,,,,,,,,,1.0197,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:17:21,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Total Over,Down,-106 → -106 → -113 (Down),-1.5,1.5,8.5,-113,1.94,1.94,1.88,63.6,,Under,Over,0,,,,,,,,,1.0194,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:17:22,soccer_france_ligue_one,Marseille,Rennes,H2H Away,Down,+110 → +110 → -102 (Down),0.5,-0.5,2.5,-102,2.11,2.11,1.98,87.6,,Rennes,Marseille,0,,,,,,,,,1.0211,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:17:22,soccer_france_ligue_one,Marseille,Rennes,Spread Home,Down,+110 → +110 → -107 (Down),0.5,-0.5,2.5,-107,2.11,2.11,1.93,87.6,,Rennes,Rennes,1,,,,,,,,,1.0211,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:23,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,H2H Home,Up,-200 → -181 → -181 (Up),-1.5,1.5,8.5,-181,1.5,1.55,1.55,33.6,,Chicago Cubs,Chicago Cubs,1,,,,,,,,,1.015,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:24,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Spread Home,Up,+108 → +112 → +112 (Up),-1.5,1.5,8.5,+112,2.08,2.13,2.13,33.6,,Pittsburgh Pirates,Chicago Cubs,0,,,,,,,,,1.0208,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:24,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Spread Away,Up,-121 → -125 → -125 (Up),-1.5,1.5,8.5,-125,1.82,1.8,1.8,33.6,,Pittsburgh Pirates,Pittsburgh Pirates,1,,,,,,,,,1.0182,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:25,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Total Over,Down,-106 → -106 → -109 (Down),-1.5,1.5,8.5,-109,1.94,1.94,1.91,33.6,,Under,Over,0,,,,,,,,,1.0194,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:25,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Total Under,Down,-106 → +102 → -103 (Down),-1.5,1.5,8.5,-103,1.94,2.02,1.97,33.6,,Under,Under,1,,,,,,,,,1.0194,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:25,soccer_france_ligue_one,Marseille,Rennes,H2H Home,Down,+264 → +293 → +290 (Down),0.5,-0.5,2.5,+290,3.64,3.93,3.9,57.6,,Rennes,Rennes,1,,,,,,,,,1.0364,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:25,soccer_france_ligue_one,Marseille,Rennes,H2H Away,Down,+110 → +110 → -101 (Down),0.5,-0.5,2.5,-101,2.11,2.11,1.99,57.6,,Rennes,Marseille,0,,,,,,,,,1.0211,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 13:47:26,soccer_france_ligue_one,Marseille,Rennes,Spread Home,Down,+110 → +110 → -108 (Down),0.5,-0.5,2.5,-108,2.11,2.11,1.92,57.6,,Rennes,Rennes,1,,,,,,,,,1.0211,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 14:17:27,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,H2H Away,Down,+177 → +167 → +165 (Down),-1.5,1.5,8.5,+165,2.77,2.67,2.65,3.5,,Chicago Cubs,Pittsburgh Pirates,0,,,,,,,,,1.0277,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 14:17:27,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Spread Home,Up,+108 → +112 → +112 (Up),-1.5,1.5,8.5,+112,2.08,2.13,2.13,3.5,,Pittsburgh Pirates,Chicago Cubs,0,,,,,,,,,1.0208,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 14:17:28,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Spread Away,Up,-121 → -125 → -125 (Up),-1.5,1.5,8.5,-125,1.82,1.8,1.8,3.5,,Pittsburgh Pirates,Pittsburgh Pirates,1,,,,,,,,,1.0182,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 14:17:28,baseball_mlb,Pittsburgh Pirates,Chicago Cubs,Total Under,Down,-106 → +102 → -107 (Down),-1.5,1.5,8.5,-107,1.94,2.02,1.93,3.5,,Under,Under,1,,,,,,,,,1.0194,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15 14:17:29,soccer_france_ligue_one,Marseille,Rennes,H2H Away,Down,+110 → +110 → -106 (Down),0.5,-0.5,2.75,-106,2.11,2.11,1.94,27.5,,Rennes,Marseille,0,,,,,,,,,1.0211,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
